trade_no,coin,side,signal_time,actual_result,R,touch_age,adx_pct,adx_delta,volr,ema_dist,entry_score,V15_BASELINE_kept,V15.1-A_FRESH_PULLBACK_kept,V15.1-B_FRESH_PLUS_ADX_DETERIORATION_kept,V15.1-C_FRESH_PLUS_VOL120_kept,V15.1-D_FRESH_PLUS_EMA080_kept,V15.1-E_COMBINATION_kept
81,VIRTUAL/USDT:USDT,LONG,2026-09-23T01:00:00+00:00,SL,-1.0,1.0,0.96,3.7915397166218483,1.7536003531927926,0.5036387690577124,71.8263290906451,True,True,True,True,True,True
82,XRP/USDT:USDT,LONG,2026-09-23T02:15:00+00:00,TP,1.25,1.0,0.81,6.017395413044973,1.104662660790878,0.6299609457163052,49.14855251801157,True,True,True,False,True,False
83,GIGGLE/USDT:USDT,LONG,2026-09-23T02:30:00+00:00,SL,-1.0,1.0,0.955,8.457514879703613,1.0303284655514262,0.41689445563059513,62.79705366720214,True,True,True,False,True,False
84,TRB/USDT:USDT,LONG,2026-09-23T02:45:00+00:00,SL,-1.0,1.0,0.85,4.308906686465473,1.357880481272275,0.7348511809698758,62.34930125037936,True,True,True,True,True,True
85,USELESS/USDT:USDT,LONG,2026-09-23T03:30:00+00:00,SL,-1.0,1.0,0.44,3.70876441754384,1.8223418803910811,1.0197138814136082,42.38700983464913,True,True,True,True,False,False
86,DOLO/USDT:USDT,LONG,2026-09-23T04:15:00+00:00,SL,-1.0,1.0,1.0,8.574771765919472,1.0001687860822641,0.8310167282002375,86.15199421972133,True,True,True,False,False,False
87,BLESS/USDT:USDT,LONG,2026-09-23T05:15:00+00:00,SL,-1.0,1.0,0.82,-0.1969431629206717,1.0047454776752147,1.028045428977251,22.396455765906914,True,True,True,False,False,False
88,DOLO/USDT:USDT,LONG,2026-09-23T06:30:00+00:00,SL,-1.0,1.0,1.0,8.574771765919472,1.0123436048140355,0.568220675010594,77.2669645833665,True,True,True,False,True,False
89,AAVE/USDT:USDT,LONG,2026-09-23T08:15:00+00:00,SL,-1.0,1.0,0.86,3.415233639076675,3.5093852347067442,0.41666446825505826,71.96161344969275,True,True,True,True,True,True
90,YFI/USDT:USDT,LONG,2026-09-23T08:15:00+00:00,SL,-1.0,1.0,0.725,4.309274592895079,1.2851287354943035,0.5177271379775723,54.84492832553715,True,True,True,True,True,True
91,ZEC/USDT:USDT,LONG,2026-09-23T09:45:00+00:00,TP,1.25,1.0,0.57,4.531721240800657,1.2179220497798857,0.6401448720588986,45.169520555377865,True,True,True,True,True,True
92,S/USDT:USDT,LONG,2026-09-23T10:15:00+00:00,SL,-1.0,1.0,0.99,0.26737417215521475,1.0128951879225971,0.3729997644884409,42.137627385643,True,True,True,False,True,False
93,POPCAT/USDT:USDT,LONG,2026-09-23T11:00:00+00:00,SL,-1.0,1.0,0.86,5.717199378844718,1.155998099124873,0.2924646921043046,56.27156780180427,True,True,True,False,True,False
94,BCH/USDT:USDT,LONG,2026-09-23T11:00:00+00:00,SL,-1.0,1.0,0.975,6.807811076284359,1.867076273975506,0.27924196522346934,69.51548665933775,True,True,True,True,True,True
95,ALLO/USDT:USDT,LONG,2026-09-23T11:15:00+00:00,SL,-1.0,1.0,1.0,2.480186982991185,1.0049348349575495,1.0782577330089596,66.32573468738757,True,True,True,False,False,False
96,GRASS/USDT:USDT,LONG,2026-09-23T12:00:00+00:00,SL,-1.0,1.0,1.0,4.48746500595086,1.0060967910076135,0.20840500225897876,83.81102891587885,True,True,True,False,True,False
97,NEAR/USDT:USDT,LONG,2026-09-23T13:30:00+00:00,SL,-1.0,1.0,0.86,-1.349364405381671,1.1798642731798823,1.1450452100448425,16.589388650583064,True,True,True,False,False,False
98,UAI/USDT:USDT,SHORT,2026-09-23T15:15:00+00:00,TP,1.25,1.0,0.045,-0.1514748661874865,1.0512952204057608,0.9005973429970956,28.307907043473428,True,True,True,False,False,False
99,UAI/USDT:USDT,SHORT,2026-09-23T22:00:00+00:00,TP,1.25,1.0,0.03,-0.1426921836657673,1.088212577049332,0.7315471436969371,41.12169160955692,True,True,True,False,True,False
100,PENGU/USDT:USDT,LONG,2026-09-24T07:00:00+00:00,SL,-1.0,1.0,0.955,-3.418063912021722,1.6255032848459303,0.6955735669868066,53.50795383899484,True,True,False,True,True,False
