signal_key,signal_time,coin,side,core,status,entry,sl,tp,entry_score,rsi_entry,adx4h_pct_entry,adx4h_delta_entry,volume_ratio_entry,ema20_dist_atr_entry,result,exit,R,closed_at,equity_after,post_mortem
1000PEPE/USDT:USDT|LONG|2026-09-18T17:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T17:45:00+00:00,1000PEPE/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.0038222,0.0037596390880492805,0.0039004011399383994,39.98917942993015,61.031495326555216,0.68,5.777779279550586,1.2245053675163038,0.9223914646599424,SL,0.0037596390880492805,-1.0,2026-09-19T05:40:00+00:00,106.54348176464934,FAILED_FOLLOW_THROUGH_SL
TIA/USDT:USDT|LONG|2026-09-18T23:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T23:30:00+00:00,TIA/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.4077,0.4010882483566142,0.41596468955423227,37.52194928613995,60.44328918353419,0.79,6.174831065937912,12.99898810470897,0.9663264970469387,SL,0.4010882483566142,-1.0,2026-09-19T06:25:00+00:00,106.0107643558261,FAILED_FOLLOW_THROUGH_SL
UNI/USDT:USDT|LONG|2026-09-18T13:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T13:15:00+00:00,UNI/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,8.792,8.484634412477334,9.176206984403333,57.50623959792873,52.9876183278581,0.49,9.768583548405417,1.6538292363353733,0.169483736650074,TP,9.176206984403333,1.25,2026-09-19T06:35:00+00:00,106.67333163305001,FOLLOW_THROUGH_OK_TP
PENDLE/USDT:USDT|LONG|2026-09-18T16:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T16:15:00+00:00,PENDLE/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,2.6196,2.528903438258924,2.7329707021763454,64.42960206473506,53.626091776862175,0.685,4.84737712919063,2.910375991709019,0.3771840825894021,TP,2.7329707021763454,1.25,2026-09-19T09:00:00+00:00,107.34003995575658,FOLLOW_THROUGH_OK_TP
ZEC/USDT:USDT|LONG|2026-09-19T09:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T09:15:00+00:00,ZEC/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,1562.85,1540.2564081038329,1591.0919898702086,46.542245398771506,57.2379079744308,0.66,2.4149701559053938,1.1032211980714777,0.6037127335554017,TP,1591.0919898702086,1.25,2026-09-19T09:45:00+00:00,108.01091520548006,FOLLOW_THROUGH_OK_TP
LIGHTER/USDT:USDT|LONG|2026-09-19T06:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T06:15:00+00:00,LIGHTER/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,4.936,4.780512720879219,5.130359098900976,28.227193892003893,57.17219119206792,0.42,-0.2490163718156957,1.6531662839891978,0.9893477143623128,TP,5.130359098900976,1.25,2026-09-19T10:20:00+00:00,108.68598342551431,FOLLOW_THROUGH_OK_TP
AIN/USDT:USDT|SHORT|2026-09-19T11:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T11:00:00+00:00,AIN/USDT:USDT,SHORT,V15_EARLY_RECLAIM_V1,CLOSED,0.02012,0.020807188039587893,0.019261014950515132,26.76247584127569,40.79818711844213,0.695,-1.3189298016050515,1.0135280146232002,0.9713994412874315,SL,0.020807188039587893,-1.0,2026-09-19T14:00:00+00:00,108.14255350838674,FAILED_FOLLOW_THROUGH_SL
FIL/USDT:USDT|LONG|2026-09-19T10:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T10:30:00+00:00,FIL/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.9838,0.95891619924234,1.014904750947075,38.16909757344412,58.20063081756364,0.34,5.40040650643137,1.0356496525716088,0.9926997854839297,TP,1.014904750947075,1.25,2026-09-19T16:35:00+00:00,108.81844446781416,FOLLOW_THROUGH_OK_TP
TAO/USDT:USDT|LONG|2026-09-19T13:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T13:45:00+00:00,TAO/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,267.96,262.52077382412614,274.75903271984225,45.315800334927765,61.44792277912252,0.74,7.881771872587631,1.06964250688448,1.0959633074079516,SL,262.52077382412614,-1.0,2026-09-19T18:10:00+00:00,108.27435224547509,FAILED_FOLLOW_THROUGH_SL
OP/USDT:USDT|LONG|2026-09-19T06:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T06:30:00+00:00,OP/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.12396,0.1197179970446149,0.12926250369423137,67.01299136401981,55.43129762864951,0.66,8.687925874508242,2.1451163136926765,0.4805196545607924,SL,0.1197179970446149,-1.0,2026-09-19T21:15:00+00:00,107.7329804842477,FAILED_FOLLOW_THROUGH_SL
AAVE/USDT:USDT|LONG|2026-09-19T06:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T06:30:00+00:00,AAVE/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,143.7,140.48620195633345,147.71724755458317,61.452485139149736,56.49502152590039,0.66,6.72543336469662,1.1243601008557458,0.7667726146051599,SL,140.48620195633345,-1.0,2026-09-19T21:15:00+00:00,107.19431558182647,FAILED_FOLLOW_THROUGH_SL
DYM/USDT:USDT|LONG|2026-09-19T19:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T19:15:00+00:00,DYM/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.01718,0.01677224922479657,0.01768968846900429,60.84237547570767,58.58070795702896,0.905,6.7674290563516735,8.961717909911311,0.8828026547435308,SL,0.01677224922479657,-1.0,2026-09-19T21:20:00+00:00,106.65834400391734,FAILED_FOLLOW_THROUGH_SL
ENA/USDT:USDT|LONG|2026-09-19T19:15:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T19:15:00+00:00,ENA/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.20146,0.1934623969154306,0.21145700385571176,55.51260227048911,55.717756695238556,0.845,7.954606756911318,1.2179652856968013,0.508671188755394,TP,0.21145700385571176,1.25,2026-09-20T01:20:00+00:00,107.32495865394182,FOLLOW_THROUGH_OK_TP
IMX/USDT:USDT|LONG|2026-09-19T21:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T21:45:00+00:00,IMX/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.1427,0.1395035342420209,0.14669558219747386,55.68833208999382,54.32931522997276,0.825,7.76169544927934,17.934090408215546,0.35564810778354977,SL,0.1395035342420209,-1.0,2026-09-20T01:30:00+00:00,106.78833386067211,FAILED_FOLLOW_THROUGH_SL
SUI/USDT:USDT|LONG|2026-09-20T00:30:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-20T00:30:00+00:00,SUI/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.8707,0.8498622162016352,0.8967472297479562,67.31875239234255,59.84342909508577,0.905,6.953085997755927,8.820756414446555,1.1012992353263413,SL,0.8498622162016352,-1.0,2026-09-20T02:30:00+00:00,106.25439219136875,FAILED_FOLLOW_THROUGH_SL
BLUR/USDT:USDT|LONG|2026-09-19T22:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-19T22:00:00+00:00,BLUR/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.01907,0.018746369248912535,0.01947453843885933,46.043151035934585,59.4911668974192,0.54,4.283615826259258,14.716508966128014,0.9229288705612267,SL,0.018746369248912535,-1.0,2026-09-20T02:45:00+00:00,105.72312023041191,FAILED_FOLLOW_THROUGH_SL
DRIFT/USDT:USDT|LONG|2026-09-18T05:45:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-18T05:45:00+00:00,DRIFT/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,0.0169,0.014452115960726932,0.01995985504909133,78.4412432910313,58.541510605376125,0.945,9.369869982319038,1.0915380582605094,0.9506578800108494,SL,0.014452115960726932,-1.0,2026-09-20T08:55:00+00:00,105.19450462925985,FAILED_FOLLOW_THROUGH_SL
AVAX/USDT:USDT|LONG|2026-09-20T08:00:00+00:00|V15_EARLY_RECLAIM_V1,2026-09-20T08:00:00+00:00,AVAX/USDT:USDT,LONG,V15_EARLY_RECLAIM_V1,CLOSED,9.675,9.460541568627857,9.94307303921518,61.91400209828342,49.72653298468595,0.96,9.571611299525856,1.3268478763770466,0.04829605705481914,TP,9.94307303921518,1.25,2026-09-20T11:20:00+00:00,105.85197028319273,FOLLOW_THROUGH_OK_TP
