trade_no,coin,side,R,btc_pre1h,btc_pre4h,btc_after1h,btc_after4h,btc_trade_return,btc_adverse,btc_favorable
26,LIGHTER/USDT:USDT,LONG,1.25,-0.0014101570789145645,-0.004584735830423847,0.0016938368307584106,0.003912750724297531,0.003912750724297531,-0.0005003675539438923,0.0069112496216354735
27,AIN/USDT:USDT,SHORT,-1.0,7.50509669884547e-05,0.001900653272525643,0.00051055432667102,0.0046921787998159825,0.0008636364754772696,-0.0008095054143364422,0.0016509973648014542
28,FIL/USDT:USDT,LONG,1.25,-0.00035205026194495836,0.002138542508622665,0.0006747954064658668,0.0035993192939769436,0.007513871478565415,-0.0007363643304133527,0.008683681033569757
29,TAO/USDT:USDT,LONG,-1.0,1.598679736480868e-05,4.181270368319723e-05,0.002780428537698887,0.0015457756178185456,0.000397204076814095,-0.0013969778057609794,0.007336592948213427
30,OP/USDT:USDT,LONG,-1.0,0.0004259154094961026,-0.0030473326919622234,-8.638082839129702e-06,0.002138542508622665,-3.578634319101326e-05,-0.0015203025797017045,0.010840793963214024
31,AAVE/USDT:USDT,LONG,-1.0,0.0004259154094961026,-0.0030473326919622234,-8.638082839129702e-06,0.002138542508622665,-3.578634319101326e-05,-0.0015203025797017045,0.010840793963214024
32,DYM/USDT:USDT,LONG,-1.0,-0.0005490462930777262,-0.0020432742427253237,-0.0016529595965057986,-0.0012338821077262363,-0.004124410710686477,-0.006051429779326711,0.0006402914124754577
33,ENA/USDT:USDT,LONG,1.25,-0.0005490462930777262,-0.0020432742427253237,-0.0016529595965057986,-0.0012338821077262363,-0.0035062406905806975,-0.006051429779326711,0.0006402914124754577
34,IMX/USDT:USDT,LONG,-1.0,-0.0007420290426715104,-0.004609296437679489,0.002006939793039786,7.77118666019927e-05,-0.00030467985794757624,-0.0014148493808338047,0.0033971187400316794
35,SUI/USDT:USDT,LONG,-1.0,0.0006449683239315718,0.0006252623209295205,-0.003108367252299238,-0.011362084807870376,-0.009358313437076826,-0.004904258106417592,4.551230246740978e-05
36,BLUR/USDT:USDT,LONG,-1.0,-0.00032716049382719437,-0.004636714865391411,0.003134358771696988,0.0019055616961105581,-0.008229852976591068,-0.007015875564227891,0.004576805992083877
37,DRIFT/USDT:USDT,LONG,-1.0,-0.0006567106409056667,0.009842024361911283,0.0014124038493814606,0.009265834028346243,0.03585749955458928,-0.0011180454602965906,0.05755997552177594
38,AVAX/USDT:USDT,LONG,1.25,0.0008740137775447021,5.34925670212516e-05,-0.0018808473266964665,0.0008160289988841107,-0.0006804388146183227,-0.003043937439435318,0.002063707483458632
